id,label,type,latitude,longitude,targets,x,y
s337,Human Services,stream,,,"['c52', 'c54', 'c58', 'u3', 'u4', 'u5', 'u10', 'u12', 'u17', 'u19', 'u22', 'u23', 'u26']",0,92.70833333333334
s343,Professional Communciation and Journalism,stream,,,[],0,93.75
s352,Natural Resources,stream,,,"['c3', 'c41', 'c60', 'u23']",0,94.79166666666667
s361,Criminology,stream,,,[],0,95.83333333333334
s362,Data Science,stream,,,"['c4', 'c11', 'c14', 'u25']",0,96.875
s390,Sustainable Cultures and Communities,stream,,,"['c12', 'c39', 'c52', 'c58', 'c60', 'u26']",0,97.91666666666667
s395,Linguistics,stream,,,[],0,98.95833333333334
c1,Clariant,company,44.0574447,-70.1355692,['s7'],1,0.0
c2,Acme Monaco Corporation,company,46.7014374,-68.042126,['s152'],1,1.1764705882352942
c3,Arookstook Testing & Consulting Lab,company,46.6909419,-68.0327619,"['s226', 's352', 's67', 's170', 's279']",1,2.3529411764705883
c4,Abbot Diagnostics of Scarborough,company,43.5802589,-70.3642194,"['s39', 's362']",1,3.5294117647058822
c5,Artel,company,43.6633909,-70.3662731,"['s7', 's53']",1,4.705882352941177
c6,Biochek USA Corporation,company,43.5787459,-70.3666206,"['s6', 's7', 's53']",1,5.882352941176471
c7,CAPE Technologies,company,43.6252173,-70.2863513,['s53'],1,7.0588235294117645
c8,Dermalogix Partners,company,43.5663297,-70.392193,['s6'],1,8.23529411764706
c9,Emerson Apparatus,company,43.6808161,-70.3973913,['s7'],1,9.411764705882353
c10,Enercon Technologies,company,43.8850345,-70.3424999,"['s51', 's53']",1,10.588235294117647
c11,Fluid Imaging Technologies,company,43.588282,-70.3545764,"['s39', 's41', 's362']",1,11.764705882352942
c12,Formworks,company,43.7996263,-70.1830469,"['s390', 's307', 's76', 's53', 's284']",1,12.941176470588236
c13,Global Biotechnologies,company,43.6038289,-70.3002711,"['s7', 's41']",1,14.117647058823529
c14,IDEXX,company,43.6626717,-70.375438,"['s7', 's39', 's41', 's42', 's51', 's362']",1,15.294117647058824
c15,Insightful Products,company,43.5801441,-70.3584382,['s53'],1,16.47058823529412
c16,InSphero,company,43.8931949,-69.9316428,"['s6', 's7']",1,17.647058823529413
c17,Leiner Optics,company,43.6265749,-70.2186163,"['s41', 's53']",1,18.823529411764707
c18,LGC Maine Standards,company,43.7703928,-70.2011678,"['s41', 's7', 's53']",1,20.0
c19,Lighthouse Imaging,company,43.8367541,-70.4382223,"['s7', 's53', 's76', 's127']",1,21.176470588235293
c20,ME Medical Center Research Institute,company,43.6083314,-70.3976368,"['s6', 's7', 's39', 's41', 's127']",1,22.35294117647059
c21,Optimum Imaging Diagnostics,company,43.6066174,-70.3183389,"['s41', 's76']",1,23.529411764705884
c22,Saunders Electronics,company,43.6386549,-70.3592325,"['s152', 's43', 's53', 's127']",1,24.705882352941178
c23,SDIX,company,43.7282447,-70.3755035,"['s7', 's41']",1,25.88235294117647
